"x","y"
"2.244","5.1507"
"2.248","'-230.85"
"2.252","'-360.85"
"2.256","'-338.85"
"2.26","'-270.85"
"2.264","'-206.85"
"2.268","'-172.85"
"2.272","'-148.85"
"2.276","'-122.85"
"2.28","'-134.85"
"2.284","'-116.85"
"2.288","'-124.85"
"2.292","'-106.85"
"2.296","'-106.85"
"2.3","'-88.849"
"2.304","'-98.849"
"2.308","'-60.849"
"2.312","'-72.849"
"2.316","'-68.849"
"2.32","'-40.849"
"2.324","'-66.849"
"2.328","'-42.849"
"2.332","'-42.849"
"2.336","'-14.849"
"2.34","'-40.849"
"2.344","'-46.849"
"2.348","'-34.849"
"2.352","'-20.849"
"2.356","'-20.849"
"2.36","'-10.849"
"2.364","'-28.849"
"2.368","'-20.849"
"2.372","1.1507"
"2.376","'-10.849"
"2.38","'-0.8493"
"2.384","'-14.849"
"2.388","'-10.849"
"2.392","17.151"
"2.396","15.151"
"2.4","9.1507"
"2.404","13.151"
"2.408","31.151"
"2.412","'-22.849"
"2.416","13.151"
"2.42","1.1507"
"2.424","19.151"
"2.428","27.151"
"2.432","17.151"
"2.436","25.151"
"2.44","31.151"
"2.444","47.151"
"2.448","33.151"
"2.452","37.151"
"2.456","33.151"
"2.46","15.151"
"2.464","25.151"
"2.468","27.151"
"2.472","39.151"
"2.476","33.151"
"2.48","17.151"
"2.484","25.151"
"2.488","39.151"
"2.492","39.151"
"2.496","33.151"
"2.5","37.151"
"2.504","25.151"
"2.508","29.151"
"2.512","13.151"
"2.516","31.151"
"2.52","11.151"
"2.524","15.151"
"2.528","'-4.8493"
"2.532","'-24.849"
"2.536","'-34.849"
"2.54","'-46.849"
"2.544","'-38.849"
"2.548","'-58.849"
"2.552","'-50.849"
"2.556","'-68.849"
"2.56","'-72.849"
"2.564","'-88.849"
"2.568","'-80.849"
"2.572","'-68.849"
"2.576","'-78.849"
"2.58","'-66.849"
"2.584","'-52.849"
"2.588","'-30.849"
"2.592","'-74.849"
"2.596","'-24.849"
"2.6","'-48.849"
"2.604","'-42.849"
"2.608","'-28.849"
"2.612","'-34.849"
"2.616","'-32.849"
"2.62","'-30.849"
"2.624","'-36.849"
"2.628","'-18.849"
"2.632","5.1507"
"2.636","'-26.849"
"2.64","'-42.849"
"2.644","'-34.849"
"2.648","'-8.8493"
"2.652","'-0.8493"
"2.656","'-20.849"
"2.66","'-34.849"
"2.664","'-4.8493"
"2.668","1.1507"
